도로명(head=5000),freq,도로명(head=1000),freq,도로명(head=500),freq
남부순환로,109,안암로,36,안암로,35
역삼로,107,가산디지털2로,35,가산디지털2로,30
봉은사로,85,학동로,33,역삼로,22
테헤란로,83,역삼로,32,답십리로,20
송파대로,76,강서로,29,강동대로,20
논현로,76,송파대로,26,가산디지털1로,20
언주로,74,신반포로,25,청계천로,17
신반포로,74,봉은사로,24,신반포로,15
화랑로,64,강동대로,24,이촌로46길,13
강남대로,63,가산디지털1로,23,압구정로,13
가산디지털2로,61,청계천로,22,공항대로59길,13
도곡로,59,답십리로,20,봉은사로,12
강서로,58,다산로,20,강서로,12
천호대로,56,디지털로,19,을지로,11
청계천로,55,압구정로,17,개포로,11
범안로,55,공항대로59길,17,디지털로,10
학동로,54,을지로,16,화곡로,10
망우로,51,보라매로,15,송파대로,10
디지털로,50,이촌로46길,15,학동로,10
가좌로,48,동소문로,15,아리랑로,9
동일로,48,화곡로,15,성덕정길,8
증산로,48,가좌로,14,퇴계로,8
동소문로,47,화랑로,14,양천로,8
선릉로,47,테헤란로,14,가좌로,8
답십리로,46,경부고속도로,13,다산로,7
퇴계로,44,양천로,13,신길로,6
강동대로,43,개포로,12,월곡로,5
도산대로,43,봉화산로,12,남부순환로,5
다산로,42,마장로,11,봉화산로,5
압구정로,42,도곡로,11,뚝섬로,5
약령시로,41,아리랑로,11,화랑로,5
시흥대로,41,삼전로,11,선유서로,5
서초중앙로,39,논현로,11,보라매로,4
왕십리로,38,선유서로,10,천호대로,4
왕산로,38,성덕정길,10,대림로,4
안암로,38,퇴계로,10,마장로,4
오목로,37,천호대로,9,오리로,4
을지로,37,만리재로,9,범안로,3
봉화산로,37,왕산로,9,도곡로,3
덕릉로,37,서초대로,9,시흥대로,3
가산디지털1로,35,동일로,9,약령시로,3
고산자로,35,덕릉로,9,왕산로,3
마장로,35,범안로,9,월계로,2
성산로,34,신촌로,8,용마산로,2
새창로,34,강남대로,8,응암로,2
율곡로,34,남부순환로,8,제기로,2
화곡로,33,약령시로,8,연서로,2
반포대로,33,월곡로,7,삼전로,2
잠원로,32,오목로,7,백석동길,2
월계로,32,월계로,7,공항대로,2
양녕로,32,신길로,7,망우로,2
대림로,30,테헤란로115길,7,만리재로,2
장터길,30,국제금융로,7,구천면로,2
뚝섬로,30,오리로,6,동일로,2
개포로,28,대림로,6,창경궁로,2
양천로,28,서초중앙로,6,국제금융로,2
사임당로,28,창경궁로,5,테헤란로115길,2
창경궁로,28,인촌로24길,5,국회대로,2
양화로,28,뚝섬로,5,통일로,1
서초대로,28,시흥대로,5,영신로,1
도봉로,28,공항대로,5,홍익로,1
아차산로,27,백범로,4,오패산로,1
동작대로,27,오금로,4,테헤란로,1
긴고랑로,27,장터길,4,우이천로,1
신촌로,26,도산대로,4,인촌로24길,1
공항대로59길,26,고산자로,4,종로,1
삼성로,26,성산로,4,정릉로,1
오금로,25,영신로,3,장터길,1
용마산로,25,여의대방로,3,인촌로7길,1
종로,25,망우로,3,이촌로,1
삼전로,25,양천로61길,3,가락로,1
서운로,25,두텁바위로,3,세종대로20길,1
경인로,24,중앙로,3,여의서로,1
인촌로7길,24,동소문로20길,3,반포대로,1
보라매로,24,제기로,3,강남대로,1
도림로,23,국회대로,3,경부고속도로,1
광나루로,23,반포대로,3,고산자로,1
공항대로,23,백석동길,3,광나루로,1
양재대로,22,사임당로,3,금낭화로,1
영신로,22,용마산로,3,논현로,1
아리랑로,22,도당로13길,3,덕릉로,1
신림로,22,한강대로,2,도당로13길,1
선유서로,22,창의문로,2,도봉로170길,1
서부간선도로,22,헌릉로,2,동소문로,1
우이천로,22,칠패로,2,동소문로20길,1
도당로13길,21,여의동로,2,두텁바위로,1
노원로,21,언주로,2,목동로,1
효령로,21,오패산로,2,백범로,1
전농로,20,연서로,2,여의대방로,1
동소문로20길,20,왕십리로,2,북악산로,1
양산로(영등포),19,영동대로,2,사가정로,1
여의대방로,19,영중로,2,새창로,1
개봉로,19,응암로,2,성산로,1
영중로,19,우이천로,2,성안로,1
영동대로,19,종로,2,송이로32길,1
선유로,19,가락로,2,신촌로,1
안양천로,18,새창로,2,아차산로,1
이촌로46길,18,남대문로7길,2,안양천로,1
테헤란로115길,18,사가정로,2,양녕로,1
국제금융로,18,상계로,2,양산로(영등포),1
만리재로,18,문래로,2,양천로61길,1
